,p,q,prob_hide_friend,prob_interfriend_edge,DOT-VAR mean,DOT-VAR conf_mean,DOT-VAR conf_left,DOT-VAR conf_right,Combo-LP mean,Combo-LP conf_mean,Combo-LP conf_left,Combo-LP conf_right,DOT-LP mean,DOT-LP conf_mean,DOT-LP conf_left,DOT-LP conf_right,DOT-Combo mean,DOT-Combo conf_mean,DOT-Combo conf_left,DOT-Combo conf_right,VAR-LP mean,VAR-LP conf_mean,VAR-LP conf_left,VAR-LP conf_right,LP mean,LP conf_mean,LP conf_left,LP conf_right,Combo mean,Combo conf_mean,Combo conf_left,Combo conf_right,VAR mean,VAR conf_mean,VAR conf_left,VAR conf_right,DOT mean,DOT conf_mean,DOT conf_left,DOT conf_right
0,0.2,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.8196000000000001,0.7590703378499435,0.8801296621500567,0.82,0.8173999999999999,0.7563652557963908,0.878434744203609,0.82,0.8123999999999999,0.7636738263353255,0.8611261736646743,0.82,0.8181999999999999,0.7685536506880918,0.8678463493119081
1,0.2,0.25,0.0,0.3,-0.04,-0.038200000000000005,-0.0627104059533905,-0.01368959404660951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04279999999999999,0.011813551349017092,0.07378644865098288,0.82,0.8118000000000001,0.7631300914321797,0.8604699085678205,0.82,0.8229999999999998,0.7713569946652984,0.8746430053347013,0.86,0.8756000000000002,0.8371729262108083,0.914027073789192,0.82,0.8198000000000001,0.7687709886437137,0.8708290113562864
2,0.2,0.3,0.0,0.3,-0.12,-0.11999999999999997,-0.162614551505325,-0.07738544849467494,0.12,0.11380000000000001,0.07159147005639738,0.15600852994360265,0.06,0.05839999999999999,0.025943259559838713,0.09085674044016126,-0.06,-0.05859999999999999,-0.09025501540040692,-0.02694498459959306,0.18,0.18380000000000002,0.12760782972690948,0.23999217027309055,0.82,0.8221999999999998,0.7720885242683873,0.8723114757316124,0.94,0.944,0.9146061230866018,0.9733938769133981,1.0,1.0,1.0,1.0,0.88,0.8776,0.8333028217602972,0.9218971782397029
3,0.2,0.35,0.0,0.3,0.0,0.0,0.0,0.0,0.16,0.15960000000000002,0.1090051386008421,0.21019486139915794,0.16,0.15779999999999997,0.10332835600057583,0.2122716439994241,0.0,0.0,0.0,0.0,0.16,0.15380000000000002,0.10236499246622008,0.20523500753377996,0.84,0.8371999999999999,0.7891150751274373,0.8852849248725626,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.25,0.2,0.0,0.3,-0.02,-0.0206,-0.04008435269645876,-0.0011156473035412381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.022399999999999996,0.002544522166414629,0.04225547783358537,0.72,0.7186,0.6534690549738452,0.7837309450261548,0.72,0.7241999999999998,0.6599321231095968,0.7884678768904029,0.74,0.7418,0.686439725434207,0.7971602745657931,0.72,0.71,0.6419705945932201,0.7780294054067798
5,0.25,0.25,0.0,0.3,-0.14,-0.1392,-0.1889127750180977,-0.08948722498190229,0.14,0.13620000000000002,0.09250148743950204,0.179898512560498,0.06,0.0564,0.027502941326148774,0.08529705867385122,-0.08,-0.0732,-0.10843861518277925,-0.03796138481722075,0.2,0.20440000000000003,0.14929428341814258,0.2595057165818575,0.74,0.7482000000000001,0.6923362371478613,0.8040637628521389,0.88,0.8774000000000001,0.8320873086210938,0.9227126913789063,0.94,0.9436,0.9061428244524496,0.9810571755475503,0.8,0.7978000000000001,0.7388834488449978,0.8567165511550023
6,0.25,0.3,0.0,0.3,-0.04,-0.04,-0.06742261840160418,-0.012577381598395821,0.24,0.23439999999999994,0.17039500019529719,0.2984049998047027,0.2,0.21,0.15697170566574858,0.2630282943342514,-0.04,-0.04299999999999999,-0.07062245463386627,-0.01537754536613372,0.24,0.23580000000000007,0.1830898491749455,0.2885101508250546,0.76,0.7544000000000001,0.6929456266812525,0.8158543733187477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.9599999999999999,0.9306061230866017,0.989393876913398
7,0.25,0.35,0.0,0.3,0.0,0.0,0.0,0.0,0.08,0.0776,0.03983440719384906,0.11536559280615094,0.08,0.08739999999999998,0.04253085692817388,0.13226914307182608,0.0,0.0,0.0,0.0,0.08,0.0816,0.03910953048035361,0.1240904695196464,0.92,0.9206,0.8844386947138243,0.9567613052861756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.3,0.2,0.0,0.3,-0.12,-0.1202,-0.16388020146473686,-0.07651979853526314,0.1,0.09540000000000001,0.05472027532049905,0.13607972467950097,0.04,0.040999999999999995,0.013233113246170356,0.06876688675382964,-0.06,-0.0582,-0.08867556398165587,-0.02772443601834414,0.16,0.15320000000000003,0.105098440773713,0.20130155922628706,0.68,0.671,0.603985076288934,0.738014923711066,0.78,0.777,0.7116165158468899,0.8423834841531102,0.84,0.8415999999999998,0.7870707417985535,0.8961292582014461,0.72,0.7186000000000002,0.6598629588760212,0.7773370411239793
9,0.3,0.25,0.0,0.3,-0.06,-0.061599999999999995,-0.0950281318652419,-0.028171868134758103,0.34,0.34380000000000005,0.2728242294863945,0.4147757705136056,0.28,0.275,0.20721357067967072,0.3427864293203293,-0.06,-0.061599999999999995,-0.09149046670763104,-0.03170953329236895,0.34,0.3459999999999999,0.28073132451167704,0.4112686754883228,0.66,0.6579999999999999,0.5919999999999999,0.724,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,0.9426000000000001,0.9103937894188094,0.9748062105811908
